DEPTH,AC,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1605,90.1989,-999,0.1599,90.1989,81.2031,4109.1854,50.191,50,2266.7616,8.2866,12.4347,-999,5015.8732,18.3365,0.1661,0.2008,2566.8037,2412.2733,4.046,2.3601,1,-81.252,0.21,1,134.505,1605,0.2326,-999,3380.0639
1605.125,89.2999,-999,0.156,89.2999,81.201,4109.0206,48.912,50,2266.938,8.2866,12.4347,-999,5016.2932,18.3366,0.164,0.1952,2539.9416,2410.7456,4.054,2.366,1,-81.165,0.2025,1,134.5098,1605.125,0.2206,-999,3414.0917
1605.25,87.3799,-999,0.1474,87.3799,81.1988,4108.622,47.787,50,2267.1143,8.2866,12.4347,-999,5016.7156,18.3368,0.156,0.1832,2480.2917,2408.4926,4.062,2.3789,1,-81.078,0.1865,1,134.5147,1605.25,0.2102,-999,3489.1096
1605.375,86.0509,-999,0.1413,86.0509,81.1967,4108.2007,47.934,50,2267.2907,8.2866,12.4347,-999,5017.1395,18.3369,0.1484,0.1749,2437.435,2406.1678,4.07,2.388,1,-80.991,0.1754,1,134.5196,1605.375,0.2115,-999,3542.9966
1605.5,84.7969,-999,0.1355,84.7969,81.1945,4107.912,47.864,50,2267.467,8.2866,12.4347,-999,5017.565,18.337,0.1415,0.1669,2395.7037,2404.2491,4.079,2.3968,1,-80.904,0.165,1,134.5244,1605.5,0.2109,-999,3595.3914
1605.625,83.5429,-999,0.1295,83.5429,81.1924,4107.8051,48.178,50,2267.6433,8.2866,12.4347,-999,5017.9921,18.3371,0.1337,0.1589,2352.6432,2402.8884,4.083,2.4057,1,-80.817,0.1545,1,134.5293,1605.625,0.2138,-999,3649.3592
1605.75,82.4069,-999,0.124,82.4069,81.1902,4107.8899,49.047,50,2267.8197,8.2866,12.4347,-999,5018.4207,18.3373,0.1252,0.1516,2312.4583,2402.1206,4.118,2.414,1,-80.73,0.1451,1,134.5342,1605.75,0.2218,-999,3699.6665
1605.875,81.3339,-999,0.1187,81.3339,81.1881,4108.1398,49.931,50,2267.996,8.2866,12.4347,-999,5018.8507,18.3374,0.117,0.1447,2273.4206,2401.8651,4.152,2.4219,1,-80.642,0.1361,1,134.539,1605.875,0.2301,-999,3748.4745
1606,80.5879,-999,0.115,80.5879,81.1859,4108.4576,50.231,50,2268.1724,8.2866,12.4347,-999,5019.2816,18.3376,0.1119,0.1399,2245.7077,2401.8207,4.185,2.4275,1,-80.564,0.1299,1,134.5439,1606,0.233,-999,3783.174
1606.125,81.1799,-999,0.1179,81.1799,81.1838,4108.7762,49.965,50,2268.3487,8.2866,12.4347,-999,5019.7118,18.3377,0.116,0.1437,2268.2052,2401.7805,4.198,2.4231,1,-80.611,0.1348,1,134.5488,1606.125,0.2304,-999,3755.5854
1606.25,82.4999,-999,0.1245,82.4999,81.1816,4109.1058,49.77,50,2268.5251,8.2866,12.4347,-999,5020.1403,18.3378,0.1242,0.1522,2316.8516,2401.7782,4.198,2.4133,1,-80.659,0.1458,1,134.5536,1606.25,0.2286,-999,3695.496
1606.375,84.7769,-999,0.1354,84.7769,81.1795,4109.4452,49.536,50,2268.7014,8.2866,12.4347,-999,5020.5658,18.338,0.1378,0.1668,2396.8762,2401.8129,4.187,2.3969,1,-80.706,0.1648,1,134.5585,1606.375,0.2264,-999,3596.2396
1606.5,87.0999,-999,0.1461,87.0999,81.1773,4109.7943,49.358,50,2268.8778,8.2866,12.4347,-999,5020.9885,18.3381,0.1511,0.1815,2474.0146,2401.884,4.167,2.3808,1,-80.754,0.1842,1,134.5634,1606.5,0.2247,-999,3500.326
1606.625,88.8779,-999,0.1541,88.8779,81.1752,4110.1533,49.152,50,2269.0541,8.2866,12.4347,-999,5021.409,18.3382,0.1612,0.1926,2530.277,2401.9904,4.133,2.3688,1,-80.801,0.199,1,134.5682,1606.625,0.2228,-999,3430.3021
1606.75,89.6469,-999,0.1575,89.6469,81.173,4110.504,50.157,50,2269.2305,8.2866,12.4347,-999,5021.8287,18.3383,0.1632,0.1974,2554.0471,2402.0727,4.087,2.3637,1,-80.849,0.2054,1,134.5731,1606.75,0.2323,-999,3400.8766
1606.875,89.2999,-999,0.156,89.2999,81.1708,4110.9266,51.48,50,2269.4068,8.2866,12.4347,-999,5022.2487,18.3384,0.1584,0.1952,2543.77,2402.3794,4.041,2.366,1,-80.896,0.2025,1,134.578,1606.875,0.2449,-999,3414.0917
1607,87.6709,-999,0.1487,87.6709,81.1687,4111.4483,52.164,50,2269.5831,8.2866,12.4347,-999,5022.6707,18.3385,0.1481,0.1851,2493.3354,2402.9935,3.994,2.3769,1,-80.944,0.1889,1,134.5828,1607,0.2516,-999,3477.5284
