DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1353.9826,-999,0.0872,75.286,82.002,3404.4637,63.6109,40,1925.9408,8.3459,-999,-999,4282.9256,18.5598,-999,-999,1237.2233,1923.6501,5.5906,2.4692,1,-20.836,-999,-999,128.0112,1353.9826,0.2285,-999,4049.5982
1354.1076,-999,0.0853,74.9344,82.0006,3405.747,67.3966,40,1926.1171,8.3459,-999,-999,4283.3645,18.56,-999,-999,1194.4049,1929.3162,5.4694,2.4721,1,-20.9057,-999,-999,128.0156,1354.1076,0.2236,-999,4068.5993
1354.2326,-999,0.0926,76.2735,81.9991,3407.1773,65.1031,40,1926.2935,8.3459,-999,-999,4283.8014,18.5602,-999,-999,1354.5272,1936.0067,5.3085,2.4611,1,-21.024,-999,-999,128.0201,1354.2326,0.2422,-999,3997.1687
1354.3576,-999,0.0855,74.9607,81.9977,3408.524,60.9236,40,1926.4698,8.3459,-999,-999,4284.2403,18.5604,-999,-999,1198.1713,1942.4701,5.1098,2.4718,1,-20.665,-999,-999,128.0245,1354.3576,0.2237,-999,4067.1718
1354.4826,-999,0.1217,81.9277,81.9963,3409.8002,54.8783,40,1926.6462,8.3459,-999,-999,4284.6694,18.5605,-999,-999,1920.7197,1948.5122,4.8367,2.4175,1,-20.4911,-999,-999,128.0289,1354.4826,0.3313,-999,3721.3061
1354.6076,-999,0.1323,84.1249,81.9948,3410.9424,53.5136,40,1926.8225,8.3459,-999,-999,4285.0958,18.5606,-999,-999,2101.461,1953.7877,4.5452,2.4016,1,-20.43,-999,-999,128.0334,1354.6076,0.3598,-999,3624.1119
1354.7326,-999,0.1367,85.0484,81.9934,3412.073,55.2697,40,1926.9989,8.3459,-999,-999,4285.521,18.5608,0.1228,0.1685,2172.1365,1959.101,4.2838,2.395,1,-20.3103,0.1309,1,128.0378,1354.7326,0.2828,-999,3584.7594
1354.8576,-999,0.178,94.4614,81.992,3413.3021,56.997,40,1927.1752,8.3459,-999,-999,4285.9352,18.5608,0.1605,0.2268,2743.4012,1965.2957,4.0821,2.333,1,-20.012,0.2127,1,128.0422,1354.8576,0.3008,-999,3227.5411
1354.9826,-999,0.2575,116.5332,81.9905,3414.5654,64.6124,40,1927.3516,8.3459,-999,-999,4286.3282,18.5608,0.0899,0.3549,3464.7179,1971.8542,3.9186,2.2137,1,-19.7684,0.4046,1,128.0467,1354.9826,0.3866,-999,2616.2334
1355.1076,-999,0.2761,122.5961,81.9891,3415.8517,66.9876,40,1927.5279,8.3459,-999,-999,4286.7163,18.5608,0.0606,0.3885,3581.0465,1978.5533,3.773,2.1858,1,-19.9395,0.4574,1,128.0511,1355.1076,0.4158,-999,2486.8495
