DEPTH,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1514.0603,0.1124,80.0756,78.7471,3746.3608,37.5136,40,2141.6304,8.2994,12.7,-999,4689.817,18.1743,-999,-999,2204.781,2066.1938,5.6116,2.4314,1,8.7886,-999,-999,124.209,1514.0603,0.1521,-999,3807.3776
1514.1853,0.1131,80.2057,78.7455,3747.2626,37.1878,40,2141.8068,8.2994,12.7,-999,4690.2485,18.1745,-999,-999,2211.0837,2067.802,5.6919,2.4304,1,8.8953,-999,-999,124.2133,1514.1853,0.1486,-999,3801.2018
1514.3103,0.1138,80.3441,78.7439,3748.2184,36.266,40,2141.9831,8.2994,12.7,-999,4690.6798,18.1747,-999,-999,2217.7461,2069.561,5.7619,2.4293,1,9.0019,-999,-999,124.2176,1514.3103,0.1389,-999,3794.6539
1514.4353,0.114,80.3925,78.7423,3749.0575,35.5191,40,2142.1595,8.2994,12.7,-999,4691.111,18.1748,-999,-999,2220.2385,2070.9954,5.8229,2.429,1,9.1062,-999,-999,124.2219,1514.4353,0.1312,-999,3792.3693
1514.5603,0.1129,80.1707,78.7407,3749.8377,35.6713,40,2142.3358,8.2994,12.7,-999,4691.5425,18.175,-999,-999,2210.2363,2072.2658,5.8724,2.4307,1,9.206,-999,-999,124.2262,1514.5603,0.1328,-999,3802.8613
1514.6853,0.1071,79.027,78.7391,3750.8581,37.2481,40,2142.5121,8.2994,12.7,-999,4691.9756,18.1752,-999,-999,2156.4317,2074.2014,5.9216,2.4394,1,9.3205,-999,-999,124.2305,1514.6853,0.1492,-999,3857.8973
1514.8103,0.1032,78.2811,78.7375,3752.2969,37.3809,40,2142.6885,8.2994,12.7,-999,4692.4097,18.1754,0.1244,0.1247,2120.3577,2077.2995,6.0326,2.4452,1,9.4078,0.1462,1,124.2348,1514.8103,0.1219,-999,3894.6572
1514.9353,0.1024,78.1217,78.7359,3754.261,37.414,40,2142.8648,8.2994,12.7,-999,4692.844,18.1756,0.1234,0.1237,2112.7326,2081.8585,6.1143,2.4464,1,9.4441,0.145,1,124.2391,1514.9353,0.1221,-999,3902.6039
1515.0603,0.1034,78.3167,78.7343,3756.9028,38.0103,40,2143.0412,8.2994,12.7,-999,4693.2781,18.1757,0.1234,0.125,2122.616,2088.304,6.1257,2.4449,1,9.4465,0.1465,1,124.2435,1515.0603,0.1268,-999,3892.8868
1515.1853,0.1048,78.5885,78.7327,3760.063,39.1132,40,2143.2175,8.2994,12.7,-999,4693.7118,18.1759,0.123,0.1268,2136.1936,2096.1929,6.0686,2.4428,1,9.4417,0.1487,1,124.2478,1515.1853,0.1357,-999,3879.4232
1515.3103,0.1061,78.8529,78.7311,3762.1778,39.5379,40,2143.3939,8.2994,12.7,-999,4694.1451,18.1761,0.1237,0.1285,2149.3006,2101.1747,6.0031,2.4408,1,9.4496,0.1508,1,124.2521,1515.3103,0.1391,-999,3866.4152
1515.4353,0.1017,77.9878,78.7295,3763.5116,38.3124,40,2143.5702,8.2994,12.7,-999,4694.5796,18.1763,0.1209,0.1228,2107.0909,2103.9815,5.8904,2.4475,1,9.4421,0.1439,1,124.2564,1515.4353,0.1292,-999,3909.3044
1515.5603,0.1021,78.0606,78.7279,3764.2399,36.9748,40,2143.7466,8.2994,12.7,-999,4695.014,18.1765,0.1238,0.1233,2110.9606,2105.1041,5.8184,2.4469,1,9.4462,0.1445,1,124.2607,1515.5603,0.1187,-999,3905.6585
1515.6853,0.1023,78.1006,78.7263,3764.5019,36.1104,40,2143.9229,8.2994,12.7,-999,4695.4484,18.1766,0.1245,0.1235,2113.1974,2104.9296,5.7605,2.4466,1,9.4456,0.1448,1,124.265,1515.6853,0.112,-999,3903.6582
1515.8103,0.1005,77.7622,78.7247,3764.5653,36.0328,40,2144.0993,8.2994,12.7,-999,4695.8832,18.1768,0.1221,0.1213,2096.574,2104.2012,5.739,2.4493,1,9.4427,0.1421,1,124.2693,1515.8103,0.1114,-999,3920.6459
1515.9353,0.0987,77.41,78.7231,3764.959,36.622,40,2144.2756,8.2994,12.7,-999,4696.3185,18.177,0.1195,0.119,2079.0638,2104.3912,5.8008,2.452,1,9.4619,0.1393,1,124.2736,1515.9353,0.1159,-999,3938.484
1516.0603,0.1048,78.5947,78.7215,3765.7897,36.2776,40,2144.4519,8.2994,12.7,-999,4696.7522,18.1772,0.1281,0.1268,2138.2709,2105.8001,5.9225,2.4428,1,9.5826,0.1488,1,124.2779,1516.0603,0.1133,-999,3879.1172
1516.1853,0.1106,79.7165,78.7199,3767.0499,35.7656,40,2144.6283,8.2994,12.7,-999,4697.1843,18.1774,0.1359,0.1342,2192.3433,2108.4073,6.0454,2.4341,1,9.7195,0.1577,1,124.2823,1516.1853,0.1093,-999,3824.5288
1516.3103,0.1136,80.3078,78.7184,3768.8527,35.5602,40,2144.8046,8.2994,12.7,-999,4697.6157,18.1775,0.1398,0.138,2220.2161,2112.5264,6.1738,2.4296,1,9.8535,0.1625,1,124.2866,1516.3103,0.1077,-999,3796.3691
1516.4353,0.1153,80.6411,78.7168,3770.8423,34.3331,40,2144.981,8.2994,12.7,-999,4698.0466,18.1777,0.1427,0.1402,2235.8189,2117.1668,6.2942,2.4271,1,9.9848,0.1651,1,124.2909,1516.4353,0.0984,-999,3780.6782
1516.5603,0.117,80.9918,78.7152,3772.4355,32.4057,40,2145.1573,8.2994,12.7,-999,4698.477,18.1779,0.1454,0.1425,2252.0556,2120.7049,6.3922,2.4245,1,10.1179,0.1679,1,124.2952,1516.5603,0.0841,-999,3764.3076
