DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL
1574.0564,-999,-999,57.34,71.895,4570.1584,36.25,45,2236.4055,8.3366,-999,5534.0066,20.6291,-999,-999,1399.3531,2137.6946,20000000,2.6431,1,87.77,-999,-999,134.8924,1574,-999
1574.2088,-999,-999,65.3,71.895,4574.9292,35.95,45,2236.7582,8.3366,-999,5534.9151,20.6292,-999,-999,1903.6595,2147.6651,20000000,2.5586,1,80.03,-999,-999,134.8985,1574.25,-999
1574.3612,-999,-999,69.28,71.895,4578.7141,37.24,45,2236.9345,8.3366,-999,5535.3627,20.6293,-999,-999,2112.4341,2156.1371,20000000,2.521,1,75.9,-999,-999,134.9046,1574.375,-999
1574.5136,-999,0.0826,74.45,71.895,4582.3091,39.77,45,2237.1109,8.3366,-999,5535.8023,20.6293,0.0962,0.0991,2350.3165,2164.1609,20000000,2.4761,1,69.3,0.1156,0.0348,134.9106,1574.5,0.141
1574.666,-999,0.1045,78.53,71.895,4585.6847,42.11,45,2237.2872,8.3366,-999,5536.236,20.6292,0.1162,0.1264,2516.0154,2171.6606,20000000,2.4433,1,63.11,0.1482,0.0294,134.9167,1574.625,0.1603
1574.8184,-999,0.1144,80.47,71.895,4588.8456,45.63,45,2237.6399,8.3366,-999,5537.0983,20.6292,0.1159,0.1391,2589.235,2177.8262,20000000,2.4284,1,53.07,0.1638,0.0275,134.9228,1574.875,0.1907
1574.9708,-999,0.1105,79.71,71.895,4591.2613,46.22,45,2237.8163,8.3366,-999,5537.5304,20.6291,0.1109,0.1341,2561.3298,2182.9734,20000000,2.4342,1,50.46,0.1577,0.0279,134.9289,1575,0.196
1575.1232,-999,0.0986,77.4,71.895,4593.2869,47.87,45,2237.9926,8.3366,-999,5537.9658,20.6291,0.0949,0.1189,2472.7,2187.1712,20000000,2.4521,1,46.78,0.1392,0.0295,134.935,1575.125,0.2109
1575.2756,-999,0.0876,75.36,71.893,4595.3519,49.2,45,2238.1689,8.3366,-999,5538.404,20.6291,0.0784,0.1052,2389.9969,2191.4693,20000000,2.4686,1,44.24,0.1229,0.0315,134.9411,1575.25,0.2232
1575.428,-999,0.0772,73.48,71.8911,4597.5974,51.2,45,2238.3453,8.3366,-999,5538.8451,20.6291,0.0573,0.0925,2309.714,2196.231,14571662,2.4842,1,42.66,0.1078,0.0343,134.9472,1575.375,0.2422
1575.5804,-999,0.0537,69.46,71.8891,4600.2962,57.47,45,2238.698,8.3366,-999,5539.7396,20.6292,0.0037,0.0647,2123.2544,2201.2844,17.07,2.5194,1,39.04,0.0757,1,134.9533,1575.625,0.3058
1575.7328,-999,0.0519,69.15,71.8872,4602.7162,57.43,45,2238.8743,8.3366,-999,5540.1874,20.6292,0.0034,0.0625,2108.197,2206.487,5.83,2.5222,1,38.19,0.0732,1,134.9594,1575.75,0.3054
1575.8852,-999,0.0487,68.64,71.8852,4605.1904,56.02,45,2239.0507,8.3366,-999,5540.636,20.6293,0.0024,0.0589,2082.9544,2211.8229,9.26,2.5269,1,37.19,0.0691,1,134.9654,1575.875,0.2905
1576.0376,-999,0.0463,68.24,71.8833,4607.6996,53.35,45,2239.227,8.3366,-999,5541.0853,20.6293,0.0024,0.0561,2062.9428,2217.2489,22.23,2.5306,1,36.37,0.0659,1,134.9715,1576,0.2633
1576.19,-999,0.0592,70.37,71.8813,4610.7079,45.97,45,2239.5797,8.3366,-999,5541.9769,20.6293,0.0508,0.0711,2168.6539,2223.104,33.97,2.5112,1,34.42,0.083,1,134.9776,1576.25,0.1938
1576.3424,-999,0.0759,73.25,71.8794,4613.5432,43.86,45,2239.7561,8.3366,-999,5542.4183,20.6293,0.0799,0.091,2301.5535,2229.3814,12,2.4861,1,33.7,0.106,1,134.9837,1576.375,0.1753
1576.4948,-999,0.1203,81.65,71.8774,4616.6791,40.83,45,2239.9324,8.3366,-999,5542.8479,20.6293,0.1328,0.1467,2635.2532,2236.4109,9.08,2.4196,1,32.49,0.1732,1,134.9898,1576.5,0.1497
1576.6472,-999,0.1534,88.71,71.8755,4619.7459,39.76,45,2240.1087,8.3366,-999,5543.2686,20.6292,0.1635,0.1915,2866.95,2243.2778,8.39,2.3699,1,31.64,0.2297,1,134.9959,1576.625,0.1409
1576.7996,-999,0.1788,94.65,71.8735,4622.4391,40.29,45,2240.2851,8.3365,-999,5543.6826,20.6291,0.1844,0.228,3035.2107,2249.2101,7.66,2.3318,1,31.07,0.2772,1,135.002,1576.75,0.1452
1576.952,-999,0.2124,103.3,71.8716,4625.1512,42.59,45,2240.6378,8.3365,-999,5544.4926,20.6289,0.2109,0.2794,3245.8161,2254.4342,6.67,2.2814,1,30.23,0.3464,1,135.0081,1577,0.1644
1577.1044,-999,0.2143,103.82,71.8696,4627.4164,45.82,45,2240.8141,8.3365,-999,5544.8971,20.6288,0.208,0.2824,3257.6381,2259.3191,6.14,2.2785,1,29.84,0.3506,1,135.0142,1577.125,0.1924
1577.2568,-999,0.2125,103.33,71.8677,4629.7331,47.67,45,2240.9905,8.3365,-999,5545.3021,20.6286,0.2035,0.2796,3247.1,2264.335,4.75,2.2812,1,29.58,0.3466,1,135.0202,1577.25,0.2091
1577.4092,-999,0.2048,101.27,71.8657,4632.3843,48.56,45,2241.1668,8.3365,-999,5545.7092,20.6285,0.1947,0.2675,3200.6578,2270.1687,4.41,2.2928,1,29.47,0.3302,1,135.0263,1577.375,0.2173
1577.5616,-999,0.1941,98.47,71.8638,4635.3626,48.64,45,2241.3432,8.3365,-999,5546.1191,20.6284,0.1841,0.2509,3134.2811,2276.8002,4.15,2.3089,1,29.44,0.3078,1,135.0324,1577.5,0.218
1577.714,-999,0.1889,97.15,71.8618,4638.9564,48.39,45,2241.6958,8.3365,-999,5546.9417,20.6282,0.1795,0.243,3102.0522,2284.1583,4.09,2.3167,1,29.52,0.2972,1,135.0385,1577.75,0.2157
1577.8664,-999,0.1913,97.76,71.8599,4642.7914,49.86,45,2241.8722,8.3365,-999,5547.3523,20.6281,0.1794,0.2467,3117.6122,2292.8293,4.23,2.3131,1,29.51,0.3021,1,135.0446,1577.875,0.2294
1578.0188,-999,0.1953,98.8,71.8579,4646.916,51.65,45,2242.0485,8.3365,-999,5547.7619,20.628,0.1805,0.2529,3143.4936,2302.1861,4.34,2.307,1,29.31,0.3104,1,135.0507,1578,0.2466
1578.1712,-999,0.1983,99.57,71.856,4651.336,52.6,45,2242.2249,8.3365,-999,5548.1707,20.6279,0.182,0.2574,3162.3922,2312.2583,4.42,2.3025,1,29.06,0.3166,1,135.0568,1578.125,0.2559
1578.3236,-999,0.1953,98.77,71.854,4656.4985,50.76,45,2242.5776,8.3365,-999,5548.9899,20.6276,0.1818,0.2527,3143.6134,2323.3478,4.45,2.3071,1,28.63,0.3102,1,135.0629,1578.375,0.238
1578.476,-999,0.1938,98.4,71.8521,4661.9554,51.12,45,2242.7539,8.3365,-999,5549.3998,20.6275,0.1798,0.2505,3134.8738,2335.8493,4.45,2.3093,1,28.63,0.3072,1,135.069,1578.5,0.2415
1578.6284,-999,0.1908,97.64,71.8501,4668.1174,53.17,45,2242.9303,8.3365,-999,5549.8106,20.6274,0.1735,0.246,3116.3842,2349.9709,4.43,2.3138,1,28.73,0.3011,1,135.0751,1578.625,0.2615
