DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VP
1526.0242,-999,-999,64.3377,76.8015,4205.6434,32.6684,35,2168.7125,8.3386,-999,3737.1335,14.369,-999,-999,1069.2002,2052.7476,4.2723,1.9082,1,-6437.207,-999,-999,105.3422,1526.0078,-999,4737.5023
1526.1766,-999,-999,65.1932,76.8007,4204.448,31.4713,35,2168.8889,8.3386,-999,3737.4711,14.3692,-999,-999,1173.0116,2048.9932,3.7738,1.9019,1,-6437.3589,-999,-999,105.3456,1526.1328,-999,4675.3342
1526.329,-999,0.0847,67.572,76.7999,4203.577,31.9656,35,2169.2416,8.3385,-999,3738.1404,14.3694,0.061,0.0727,1434.7021,2045.24,3.2642,1.8849,1,-6437.6621,0.0606,1,105.3489,1526.3828,0.1212,4510.7441
1526.4814,-999,0.0933,72.7673,76.7991,4203.8538,31.549,35,2169.4179,8.3385,-999,3738.4689,14.3695,0.0907,0.0977,1893.892,2045.0463,2.9378,1.8503,1,-6437.814,0.1021,1,105.3522,1526.5078,0.1288,4188.6946
1526.6338,-999,0.1111,77.4069,76.7983,4204.6853,32.3166,35,2169.5943,8.3385,-999,3738.7923,14.3695,0.1217,0.1252,2206.316,2046.1959,2.9149,1.822,1,-6437.9653,0.1393,1,105.3555,1526.6328,0.133,3937.6335
1526.7862,-999,0.1239,78.4485,76.7975,4205.1833,30.3403,35,2169.7706,8.3385,-999,3739.1147,14.3696,0.131,0.1357,2266.7826,2046.5482,2.9386,1.8159,1,-6438.1172,0.1476,1,105.3589,1526.7578,0.1355,3885.3515
1526.9386,-999,0.1251,78.6165,76.7967,4205.7629,33.2633,35,2169.947,8.3385,-999,3739.4369,14.3697,0.1322,0.137,2276.433,2047.0955,2.971,1.8149,1,-6438.2686,0.1489,1,105.3622,1526.8828,0.1374,3877.0487
1527.091,-999,0.1003,75.8536,76.7959,4206.7179,36.4105,35,2170.2997,8.3385,-999,3740.0871,14.3698,0.11,0.1135,2111.0654,2047.7826,3.0458,1.8312,1,-6438.5723,0.1268,1,105.3655,1527.1328,0.1344,4018.2668
1527.2434,-999,0.0844,69.249,76.7951,4208.142,44.084,35,2170.476,8.3385,-999,3740.4197,14.3699,0.0696,0.0792,1599.2816,2050.3905,3.1355,1.8734,1,-6438.7236,0.074,1,105.3689,1527.2578,0.1286,4401.5076
1527.3958,-999,0.0879,68.795,76.7943,4209.7562,46.0567,35,2170.6523,8.3385,-999,3740.7529,14.37,0.068,0.0791,1556.7939,2053.439,3.2307,1.8765,1,-6438.8755,0.0704,1,105.3722,1527.3828,0.1223,4430.5545
1527.5482,-999,0.1057,71.2984,76.7935,4210.587,42.5663,35,2170.8287,8.3385,-999,3741.083,14.3701,0.0863,0.0981,1779.0567,2054.5926,3.3335,1.8598,1,-6439.0269,0.0904,1,105.3755,1527.5078,0.1176,4274.9907
1527.7006,-999,0.1113,72.8978,76.7928,4209.1235,38.8805,35,2171.1814,8.3385,-999,3741.7397,14.3703,0.0964,0.1072,1905.7447,2049.2377,3.3998,1.8495,1,-6439.3306,0.1032,1,105.3789,1527.7578,0.1206,4181.1961
1527.853,-999,0.1274,74.2947,76.792,4207.7551,38.0542,35,2171.3577,8.3385,-999,3742.0665,14.3703,0.1092,0.1209,2007.5861,2044.9399,3.4376,1.8407,1,-6439.4819,0.1144,1,105.3822,1527.8828,0.1211,4102.5807
1528.0054,-999,0.1509,73.9132,76.7912,4207.8558,38.4693,35,2171.5341,8.3385,-999,3742.3938,14.3704,0.1166,0.1311,1980.8026,2044.3363,3.4078,1.8431,1,-6439.6338,0.1113,1,105.3855,1528.0078,0.119,4123.756
1528.1578,-999,0.1555,75.3864,76.7904,4208.2801,40.5726,35,2171.7104,8.3385,-999,3742.7194,14.3705,0.1258,0.1393,2082.2919,2044.5232,3.3085,1.834,1,-6439.7852,0.1231,1,105.3888,1528.1328,0.1189,4043.1696
1528.3102,-999,0.1571,77.7335,76.7896,4208.591,36.4494,35,2171.8868,8.3385,-999,3743.0425,14.3706,0.138,0.1495,2228.4306,2044.433,3.1569,1.82,1,-6439.937,0.1419,1,105.3922,1528.2578,0.1219,3921.0894
1528.4626,-999,0.1438,79.0705,76.7888,4209.2017,36.6169,35,2172.2394,8.3385,-999,3743.686,14.3707,0.1404,0.1482,2304.3921,2044.3119,2.9837,1.8123,1,-6440.2402,0.1526,1,105.3955,1528.5078,0.1214,3854.7878
1528.615,-999,0.1042,80.0091,76.788,4210.0598,37.9301,35,2172.4158,8.3385,-999,3744.0068,14.3707,0.1228,0.1321,2354.6902,2045.5345,2.9807,1.807,1,-6440.3921,0.1601,1,105.3988,1528.6328,0.1197,3809.5667
1528.7674,-999,0.0834,79.0854,76.7872,4211.3389,33.115,35,2172.5921,8.3384,-999,3744.3285,14.3708,0.095,0.118,2305.672,2047.7853,3.0236,1.8122,1,-6440.5435,0.1527,1,105.4022,1528.7578,0.1186,3854.0616
1528.9198,-999,0.0803,78.3618,76.7864,4213.0202,33.5507,35,2172.7685,8.3384,-999,3744.651,14.3709,0.0934,0.1136,2265.6797,2051.0031,3.0672,1.8164,1,-6440.6953,0.1469,1,105.4055,1528.8828,0.1159,3889.6503
1529.0722,-999,0.0865,75.0247,76.7856,4214.5011,34.7109,35,2173.1212,8.3384,-999,3745.303,14.371,0.1028,0.1033,2059.8006,2052.9654,3.2375,1.8362,1,-6440.9985,0.1202,1,105.4088,1529.1328,0.1037,4062.662
1529.2246,-999,0.0949,73.9235,76.7848,4215.5489,38.407,35,2173.2975,8.3384,-999,3745.6302,14.3711,0.0983,0.1031,1983.5616,2054.6482,3.6915,1.843,1,-6441.1504,0.1114,1,105.4121,1529.2578,0.0974,4123.1814
1529.377,-999,0.1005,72.199,76.784,4216.9451,36.453,35,2173.4739,8.3384,-999,3745.9593,14.3712,0.0903,0.099,1854.4628,2057.1835,4.2229,1.854,1,-6441.3018,0.0976,1,105.4155,1529.3828,0.0939,4221.6651
1529.5294,-999,0.0997,69.4842,76.7832,4218.1395,35.6159,35,2173.6502,8.3384,-999,3746.2916,14.3713,0.0756,0.0878,1624.1689,2059.2137,4.8427,1.8718,1,-6441.4536,0.0759,1,105.4188,1529.5078,0.0964,4386.6088
1529.6818,-999,0.0965,69.3298,76.7824,4219.2507,37.3144,35,2173.8266,8.3384,-999,3746.6241,14.3714,0.0735,0.0856,1610.1458,2061.034,5.5499,1.8728,1,-6441.6055,0.0746,1,105.4221,1529.6328,0.1052,4396.3779
