DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
687.9655,-999,0.0755,73.1757,98.23,1271.3247,25.9413,40,974.2426,8.3089,11.5,-999,1923.2866,16.403,-999,-999,-372.4293,651.4058,20.8793,2.4868,1,-999,-999,-999,99.8413,687.9655,0.0442,-999,4166.3838
688.0905,-999,0.0867,75.1958,98.2274,1273.7173,26.6551,40,974.4189,8.3089,11.5,-999,1923.7251,16.4038,-999,-999,-192.3105,655.5789,19.3496,2.4699,1,-999,-999,-999,99.8463,688.0905,0.05,-999,4054.4558
688.2155,-999,0.0976,77.2159,98.2247,1276.2433,27.3382,40,974.5953,8.3089,11.5,-999,1924.1607,16.4045,0.1264,0.1177,-30.4789,660.0156,18.2395,2.4536,1,-999,0.1377,1,99.8514,688.2155,0.0481,-999,3948.3843
688.3405,-999,0.1055,78.731,98.222,1278.5885,27.777,40,974.7716,8.3089,11.5,-999,1924.5942,16.4052,0.136,0.1277,80.2922,664.1021,15.8738,2.4417,1,-999,0.1498,1,99.8564,688.3405,0.0511,-999,3872.4016
688.4655,-999,0.1118,79.9532,98.2194,1280.6044,27.6785,40,974.948,8.3089,11.5,-999,1925.026,16.4059,0.1439,0.1357,163.6845,667.548,13.8688,2.4323,1,-999,0.1596,1,99.8615,688.4655,0.0504,-999,3813.2063
688.5905,-999,0.1164,80.8634,98.2167,1282.2169,27.1276,40,975.1243,8.3089,11.5,-999,1925.4566,16.4066,0.1501,0.1417,222.6085,670.2083,12.4337,2.4254,1,-999,0.1669,1,99.8666,688.5905,0.0466,-999,3770.2848
688.7155,-999,0.1191,81.4155,98.2141,1283.5898,26.437,40,975.3007,8.3089,11.5,-999,1925.8865,16.4073,0.1534,0.1452,257.1358,672.4019,11.2891,2.4213,1,-999,0.1713,1,99.8716,688.7155,0.0419,-999,3744.7175
688.8405,-999,0.1211,81.8034,98.2114,1285.0855,26.086,40,975.477,8.3089,11.5,-999,1926.3158,16.408,0.1556,0.1477,280.8881,674.836,10.797,2.4184,1,-999,0.1744,1,99.8767,688.8405,0.0395,-999,3726.9606
688.9655,-999,0.1212,81.831,98.2088,1286.8372,26.0558,40,975.6533,8.3089,11.5,-999,1926.7451,16.4086,0.1558,0.1479,282.677,677.77,10.506,2.4182,1,-999,0.1746,1,99.8817,688.9655,0.0393,-999,3725.7036
689.0905,-999,0.1195,81.487,98.2061,1288.8984,26.4486,40,975.8297,8.3089,11.5,-999,1927.1749,16.4093,0.1537,0.1457,261.8895,681.3079,10.3445,2.4208,1,-999,0.1719,1,99.8868,689.0905,0.042,-999,3741.4317
