DEPTH,AC,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1070,97.2,-999,0.1891,97.2,76.3459,2694.5164,54.52,42,1511.2028,8.2868,9.8476,-999,3266.178,17.9103,0.1891,0.2433,2044.5178,1939.7944,4.92,2.3164,1,15.69,0.2976,1,140.0423,1070,0.2751,-999,3136.6054
1070.125,96.93,-999,0.188,96.93,76.3436,2694.7951,54.34,42,1511.3792,8.2868,9.8476,-999,3266.5895,17.9104,0.1883,0.2417,2039.7134,1939.8275,4.92,2.318,1,16.01,0.2954,1,140.0459,1070.125,0.2733,-999,3145.3425
1070.25,96.67,-999,0.1869,96.67,76.3413,2694.9855,54.28,42,1511.5555,8.2868,9.8476,-999,3267.0013,17.9106,0.1873,0.2401,2035.0634,1939.6551,4.92,2.3196,1,16.21,0.2934,1,140.0495,1070.25,0.2727,-999,3153.8021
1070.375,96.67,-999,0.1869,96.67,76.3389,2695.1285,54.22,42,1511.7319,8.2868,9.8476,-999,3267.4131,17.9108,0.1874,0.2401,2035.3668,1939.3726,4.92,2.3196,1,16.5,0.2934,1,140.0531,1070.375,0.2721,-999,3153.8021
1070.5,97.79,-999,0.1914,97.79,76.3366,2695.2218,54.17,42,1511.9082,8.2868,9.8476,-999,3267.8237,17.9109,0.1919,0.2469,2056.777,1938.9764,4.94,2.3129,1,16.78,0.3023,1,140.0568,1070.5,0.2716,-999,3117.6812
1070.625,99.38,-999,0.1976,99.38,76.3342,2695.2481,54.11,42,1512.0846,8.2868,9.8476,-999,3268.2327,17.9111,0.1982,0.2563,2086.031,1938.4269,4.96,2.3036,1,16.79,0.315,1,140.0604,1070.625,0.271,-999,3067.8009
1070.75,100.96,-999,0.2037,100.96,76.3319,2695.2703,54.06,42,1512.2609,8.2868,9.8476,-999,3268.6401,17.9112,0.2043,0.2657,2113.9823,1937.8697,4.98,2.2945,1,16.75,0.3277,1,140.064,1070.75,0.2704,-999,3019.7905
1070.875,102.55,-999,0.2096,102.55,76.3295,2695.2376,54,42,1512.4372,8.2868,9.8476,-999,3269.0458,17.9113,0.2102,0.275,2141.042,1937.1871,5,2.2856,1,16.58,0.3404,1,140.0676,1070.875,0.2698,-999,2972.9698
1071,104.15,-999,0.2155,104.15,76.3272,2695.044,53.95,42,1512.6136,8.2867,9.8476,-999,3269.45,17.9115,0.2161,0.2844,2167.247,1936.1331,5.02,2.2767,1,16.66,0.3532,1,140.0713,1071,0.2693,-999,2927.2976
1071.125,105.7,-999,0.2211,105.7,76.3249,2694.7156,53.96,42,1512.7899,8.2867,9.8476,-999,3269.8527,17.9116,0.2217,0.2934,2191.7158,1934.768,5.03,2.2683,1,16.75,0.3656,1,140.0749,1071.125,0.2694,-999,2884.3713
1071.25,106.06,-999,0.2224,106.06,76.3225,2694.3135,53.98,42,1512.9663,8.2867,9.8476,-999,3270.2551,17.9117,0.2229,0.2954,2197.5142,1933.2321,5.06,2.2664,1,16.83,0.3685,1,140.0785,1071.25,0.2696,-999,2874.5809
1071.375,105.97,-999,0.2221,105.97,76.3202,2693.8274,53.17,42,1513.1426,8.2867,9.8476,-999,3270.6575,17.9118,0.2237,0.2949,2196.4605,1931.5008,5.1,2.2669,1,16.51,0.3678,1,140.0822,1071.375,0.2615,-999,2877.0223
1071.5,103.41,-999,0.2128,103.41,76.3179,2693.5034,52.96,42,1513.319,8.2867,9.8476,-999,3271.0625,17.9119,0.2149,0.28,2156.6371,1930.1424,5.15,2.2808,1,16.53,0.3473,1,140.0858,1071.5,0.2594,-999,2948.2453
