DEPTH,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
856.0122,-0.0353,56.4927,96.6322,1592.3195,51.9956,45,1210.9593,8.3004,11,2702.8239,18.5263,-999,-999,-4763.6993,357.7698,5.5215,2.653,1,-57.7177,-999,-999,103.757,856.0024,0.0778,-999,5396.7689
856.1662,-0.0393,55.9924,96.6288,1592.703,50.6976,45,1211.1765,8.3004,11,2703.4054,18.5269,-999,-999,-4966.1056,357.7698,5.5215,2.6589,1,-58.061,-999,-999,103.7625,856.1564,0.0776,-999,5444.9898
856.3202,-0.0363,56.3733,96.6253,1593.8495,48.4136,45,1211.3937,8.3004,11,2703.9859,18.5276,-999,-999,-4812.1348,359.3824,5.5215,2.6544,1,-57.8437,-999,-999,103.768,856.3104,0.0777,-999,5408.1994
856.4742,-0.0056,60.4535,96.6219,1620.3785,45.0229,45,1211.611,8.3004,11,2704.5563,18.5282,0,-0.001,-3390.9008,414.6178,5.5215,2.6084,1,-57.4248,-0.1322,1,103.7736,856.4643,0.143,-999,5043.1828
856.6282,0.0459,68.18,96.6184,1620.7455,43.8584,45,1211.8282,8.3004,11,2705.1099,18.5286,0.0513,0.0557,-1544.5184,414.6178,5.5215,2.5311,1,-57.2038,-0.062,1,103.7791,856.6183,0.1355,-999,4471.664
856.7822,0.0604,70.5739,96.615,1621.11,43.0243,45,1212.0454,8.3004,11,2705.6587,18.5291,0.0698,0.0725,-1126.4658,414.6178,5.5215,2.5094,1,-57.2326,-0.0402,1,103.7846,856.7723,0.1301,-999,4319.983
856.9362,0.0603,70.552,96.6116,1621.4746,42.939,45,1212.2627,8.3004,11,2706.2076,18.5295,0.0698,0.0723,-1129.9309,414.6178,5.5215,2.5096,1,-57.1393,-0.0404,1,103.7902,856.9263,0.1296,-999,4321.324
857.0902,0.0825,74.4165,96.6081,1621.8353,44.0608,45,1212.4799,8.3004,11,2706.7491,18.5299,0.0949,0.0989,-562.6074,414.6178,5.5215,2.4763,1,-56.831,-0.0053,1,103.7957,857.0803,0.1368,-999,4096.9146
857.2442,0.1218,81.9555,96.6047,1622.1893,45.7161,45,1212.6972,8.3004,11,2707.2778,18.5302,0.14,0.1487,259.4567,414.6178,5.5215,2.4173,1,-56.7607,0.0632,1,103.8012,857.2343,0.1476,-999,3720.0438
857.3982,0.1322,84.104,96.6013,1622.5415,46.789,45,1212.9144,8.3004,11,2707.803,18.5304,0.1506,0.1625,442.5986,414.6178,5.5215,2.4017,1,-57.1169,0.0828,1,103.8068,857.3883,0.1547,-999,3625.0125
857.5522,0.1303,83.7086,96.5978,1622.894,48.0908,45,1213.1316,8.3004,11,2708.3289,18.5307,0.1463,0.16,410.6452,414.6178,5.5215,2.4046,1,-57.2855,0.0792,1,103.8123,857.5422,0.1634,-999,3642.1353
857.7062,0.1251,82.6309,96.5944,1623.2475,50.5658,45,1213.3489,8.3004,11,2708.8565,18.531,0.1362,0.1531,319.8531,414.6178,5.5215,2.4124,1,-57.144,0.0694,1,103.8178,857.6962,0.1804,-999,3689.6373
857.8602,0.1219,81.9746,96.591,1623.6016,53.2217,45,1213.5661,8.3004,11,2709.3852,18.5313,0.128,0.1488,262.2915,414.6178,5.5215,2.4172,1,-57.0704,0.0634,1,103.8234,857.8502,0.1992,-999,3719.177
858.0142,0.1203,81.6586,96.5875,1623.9559,53.9537,45,1213.7833,8.3004,11,2709.9143,18.5316,0.125,0.1468,234.0506,414.6178,5.5215,2.4195,1,-57.1958,0.0605,1,103.8289,858.0042,0.2045,-999,3733.5694
