DEPTH,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
999.9851,0.2057,101.4985,85.2292,2442.894,66.846,50,1414.7709,8.3012,13,-999,3059.626,17.9523,0.1744,0.2688,2085.7272,2069.5265,14.2912,2.2915,1,-999,0.332,0.7975,108.3368,999.9851,0.3059,-999,3003.769
1000.1101,0.2055,101.4341,85.2271,2444.3472,67.9872,50,1414.9473,8.3011,13,-999,3060.0329,17.9525,0.1725,0.2685,2084.2126,2076.7518,14.3439,2.2918,1,-999,0.3315,0.8057,108.3412,1000.1101,0.3157,-999,3005.6761
1000.2351,0.2039,101.0063,85.225,2445.5466,69.5496,50,1415.1236,8.3011,13,-999,3060.4402,17.9526,0.1686,0.266,2072.102,2082.0358,14.7105,2.2942,1,-999,0.3281,0.8118,108.3456,1000.2351,0.3293,-999,3018.4063
1000.3601,0.2019,100.5088,85.2229,2446.5198,70.5774,50,1415.3,8.3011,13,-999,3060.848,17.9528,0.1562,0.263,2057.6931,2085.7891,15.1509,2.2971,1,-999,0.3241,0.8357,108.35,1000.3601,0.3385,-999,3033.3468
1000.4851,0.1999,99.9773,85.2209,2447.2871,70.2297,50,1415.4763,8.3011,13,-999,3061.2564,17.9529,0.1612,0.2599,2041.9486,2088.279,15.6387,2.3001,1,-999,0.3198,0.8086,108.3545,1000.4851,0.3354,-999,3049.4727
1000.6101,0.1979,99.4458,85.2188,2447.8646,70.5754,50,1415.6527,8.3011,13,-999,3061.6653,17.9531,0.1563,0.2567,2025.8561,2089.6975,16.1449,2.3032,1,-999,0.3156,0.8094,108.3589,1000.6101,0.3385,-999,3065.771
1000.7351,0.196,98.9565,85.2167,2448.3085,71.2255,50,1415.829,8.3011,13,-999,3062.0747,17.9532,0.1471,0.2538,2010.7526,2090.4115,16.6278,2.306,1,-999,0.3117,0.8228,108.3633,1000.7351,0.3443,-999,3080.93
1000.8601,0.1946,98.6089,85.2146,2448.6702,71.4974,50,1416.0054,8.3011,13,-999,3062.4844,17.9534,0.1434,0.2517,1999.9328,2090.7125,16.9805,2.3081,1,-999,0.3089,0.8245,108.3677,1000.8601,0.3468,-999,3091.7904
1000.9851,0.1941,98.473,85.2125,2448.977,70.7656,50,1416.1817,8.3011,13,-999,3062.8943,17.9535,0.1536,0.2509,1995.8642,2090.7418,17.1194,2.3089,1,-999,0.3078,0.7933,108.3721,1000.9851,0.3402,-999,3096.0573
1001.1101,0.1941,98.473,85.2105,2449.2274,68.885,50,1416.358,8.3011,13,-999,3063.3043,17.9537,0.1597,0.2509,1996.2005,2090.4908,17.1173,2.3089,1,-999,0.3078,0.7724,108.3765,1001.1101,0.3235,-999,3096.0573
1001.2351,0.1947,98.6249,85.2084,2449.4239,66.7684,50,1416.5344,8.3011,13,-999,3063.714,17.9539,0.1636,0.2518,2001.4609,2089.967,16.9576,2.308,1,-999,0.309,0.7586,108.381,1001.2351,0.3052,-999,3091.2888
1001.3601,0.1956,98.8586,85.2063,2449.5772,65.7628,50,1416.7107,8.3011,13,-999,3064.1235,17.954,0.166,0.2532,2009.314,2089.2292,16.7164,2.3066,1,-999,0.3109,0.7537,108.3854,1001.3601,0.2967,-999,3083.981
1001.4851,0.1967,99.1469,85.2042,2449.6867,65.859,50,1416.8871,8.3011,13,-999,3064.5327,17.9542,0.167,0.255,2018.8268,2088.2776,16.4248,2.3049,1,-999,0.3132,0.7582,108.3898,1001.4851,0.2975,-999,3075.0134
1001.6101,0.1979,99.4619,85.2021,2449.752,67.1289,50,1417.0634,8.3011,13,-999,3064.9416,17.9543,0.1663,0.2568,2029.0693,2087.1114,16.1132,2.3031,1,-999,0.3157,0.7726,108.3942,1001.6101,0.3083,-999,3065.2747
1001.7351,0.1991,99.7768,85.2,2449.77,69.7462,50,1417.2398,8.3011,13,-999,3065.3501,17.9545,0.1635,0.2587,2039.1857,2085.7134,15.8085,2.3013,1,-999,0.3182,0.7966,108.3986,1001.7351,0.3311,-999,3055.6006
1001.8601,0.2003,100.0919,85.198,2449.7508,73.0356,50,1417.4161,8.3011,13,-999,3065.7584,17.9546,0.1228,0.2605,2049.1859,2084.1184,15.5103,2.2995,1,-999,0.3207,0.9215,108.403,1001.8601,0.3609,-999,3045.9812
1001.9851,0.2015,100.4069,85.1959,2449.6554,74.3706,50,1417.5925,8.3011,13,-999,3066.1663,17.9548,0.106,0.2624,2059.0649,2082.0931,15.2187,2.2977,1,-999,0.3233,0.9757,108.4075,1001.9851,0.3733,-999,3036.4253
1002.1101,0.2024,100.6347,85.1938,2449.4508,73.3371,50,1417.7688,8.3011,13,-999,3066.574,17.9549,0.1189,0.2637,2066.2284,2079.4238,15.0113,2.2964,1,-999,0.3251,0.9476,108.4119,1002.1101,0.3637,-999,3029.5519
1002.2351,0.2028,100.739,85.1917,2449.1369,71.1986,50,1417.9452,8.3011,13,-999,3066.9816,17.9551,0.1475,0.2644,2069.6731,2076.0784,14.9164,2.2958,1,-999,0.3259,0.8675,108.4163,1002.2351,0.3441,-999,3026.4153
1002.3601,0.2026,100.6787,85.1896,2448.6817,69.7123,50,1418.1215,8.3011,13,-999,3067.3892,17.9552,0.1671,0.264,2068.2208,2071.807,14.9682,2.2961,1,-999,0.3254,0.8091,108.4207,1002.3601,0.3308,-999,3028.2279
1002.4851,0.2013,100.3556,85.1875,2448.0484,70.4324,50,1418.2978,8.3011,13,-999,3067.7972,17.9554,0.1583,0.2621,2058.8799,2066.2728,15.2578,2.298,1,-999,0.3228,0.8267,108.4251,1002.4851,0.3372,-999,3037.9774
1002.6101,0.2004,100.1102,85.1855,2447.3044,73.0574,50,1418.4742,8.3011,13,-999,3068.2054,17.9555,0.1225,0.2606,2051.7814,2059.8424,15.4817,2.2994,1,-999,0.3209,0.9231,108.4295,1002.6101,0.3611,-999,3045.4244
1002.7351,0.2004,100.1097,85.1834,2446.5163,74.5559,50,1418.6505,8.3011,13,-999,3068.6136,17.9557,0.1038,0.2606,2052.107,2053.0251,15.4802,2.2994,1,-999,0.3209,0.973,108.434,1002.7351,0.3751,-999,3045.4396
1002.8601,0.2014,100.3614,85.1813,2445.7408,74.4818,50,1418.8269,8.3011,13,-999,3069.0216,17.9558,0.1047,0.2621,2060.0754,2046.309,15.2468,2.2979,1,-999,0.3229,0.9781,108.4384,1002.8601,0.3744,-999,3037.8019
1002.9851,0.2029,100.7631,85.1792,2445.0478,73.5099,50,1419.0032,8.3011,13,-999,3069.4291,17.956,0.1167,0.2645,2072.4357,2040.269,14.8839,2.2956,1,-999,0.3261,0.9578,108.4428,1002.9851,0.3653,-999,3025.6914
1003.1101,0.2044,101.1548,85.1771,2444.4928,72.9853,50,1419.1796,8.3011,13,-999,3069.8363,17.9561,0.1234,0.2668,2084.3137,2035.2779,14.5396,2.2934,1,-999,0.3292,0.9498,108.4472,1003.1101,0.3604,-999,3013.9751
1003.2351,0.2057,101.4845,85.175,2444.0749,73.6866,50,1419.3559,8.3011,13,-999,3070.2431,17.9563,0.1145,0.2688,2094.2305,2031.2749,14.2567,2.2915,1,-999,0.3319,0.9849,108.4516,1003.2351,0.3669,-999,3004.1834
1003.3601,0.2047,101.2455,85.173,2443.7081,75.4988,50,1419.5323,8.3011,13,-999,3070.6502,17.9564,0.0928,0.2673,2087.6439,2027.6603,14.458,2.2929,1,-999,0.33,1,108.456,1003.3601,0.3841,-999,3011.2751
1003.4851,0.2035,100.9074,85.1709,2443.3454,77.175,50,1419.7086,8.3011,13,-999,3071.0576,17.9565,0.0751,0.2654,2078.071,2024.1197,14.7493,2.2948,1,-999,0.3273,1,108.4605,1003.4851,0.4003,-999,3021.3646
1003.6101,0.2026,100.6858,85.1688,2442.9716,77.7483,50,1419.885,8.3011,13,-999,3071.4652,17.9567,0.0695,0.264,2071.8411,2020.5395,14.9433,2.2961,1,-999,0.3255,1,108.4649,1003.6101,0.406,-999,3028.0144
1003.7351,0.2024,100.6228,85.1667,2442.5746,77.0115,50,1420.0613,8.3011,13,-999,3071.8729,17.9568,0.0767,0.2637,2070.3031,2016.8199,14.9976,2.2964,1,-999,0.325,1,108.4693,1003.7351,0.3987,-999,3029.9102
1003.8601,0.2021,100.542,85.1646,2442.1408,75.996,50,1420.2376,8.3011,13,-999,3072.2807,17.957,0.0873,0.2632,2068.2271,2012.8481,15.0682,2.2969,1,-999,0.3243,1,108.4737,1003.8601,0.3889,-999,3032.3452
1003.9851,0.2036,100.9393,85.1626,2441.6648,75.5783,50,1420.414,8.3011,13,-999,3072.6881,17.9571,0.092,0.2656,2080.3778,2008.5489,14.714,2.2946,1,-999,0.3275,1,108.4781,1003.9851,0.3848,-999,3020.4098
