DEPTH,AC,CAL,CALI,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PPP,RES_DEEP,RHOB_combined,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1100,105.54,0,0,0.2205,105.54,81.9411,2766.8,25.73,38,1553.0839,8.284,17.6088,-999.25,3401.7063,18.1443,-999.25,1908.0643,4.66,2.2692,1,16.49,-999.25,-999.25,111.4151,1100.0232,0.0425,-999.25,2888.7441
1100.1524,104.36,0,0,0.2163,104.36,81.9376,2766.8037,25.88,38,1553.299,8.284,17.6088,-999.25,3402.1987,18.1444,-999.25,1907.3108,4.64,2.2756,1,16.51,-999.25,-999.25,111.4192,1100.1757,0.0437,-999.25,2921.407
1100.3048,102.38,0,0,0.209,102.38,81.9341,2767.0576,26.06,38,1553.5139,8.284,17.6088,-999.25,3402.6936,18.1446,-999.25,1907.1427,4.65,2.2865,1,16.55,-999.25,-999.25,111.4232,1100.328,0.0452,-999.25,2977.9062
1100.4572,101.81,0,0,0.2069,101.81,81.9306,2767.3831,26.14,38,1553.7289,8.284,17.6088,-999.25,3403.1892,18.1447,-999.25,1907.1418,4.67,2.2897,1,16.57,-999.25,-999.25,111.4273,1100.4803,0.0458,-999.25,2994.5786
1100.6096,100.14,0,0,0.2005,100.14,81.9271,2768.0962,26.3,38,1553.9438,8.284,17.6088,-999.25,3403.687,18.1448,-999.25,1908.05,4.78,2.2992,1,16.65,-999.25,-999.25,111.4314,1100.6328,0.0471,-999.25,3044.5183
1100.762,100.6,0,0,0.2023,100.6,81.9235,2768.6909,25.86,38,1554.1589,8.284,17.6088,-999.25,3404.1841,18.145,-999.25,1908.681,4.89,2.2966,1,16.68,-999.25,-999.25,111.4355,1100.7852,0.0436,-999.25,3030.5969
1100.9144,101.33,0,0,0.2051,101.33,81.92,2769.1179,25.13,38,1554.3739,8.284,17.6088,-999.25,3404.6802,18.1451,-999.25,1908.9186,5.02,2.2924,1,16.71,-999.25,-999.25,111.4395,1100.9376,0.0378,-999.25,3008.7639
1101.0668,101.34,0,0,0.2051,101.34,81.9165,2769.4026,24.89,38,1554.5889,8.284,17.6088,-999.25,3405.1765,18.1452,-999.25,1908.8206,5.06,2.2924,1,16.71,-999.25,-999.25,111.4436,1101.09,0.0359,-999.25,3008.467
1101.2192,101.26,0,0,0.2048,101.26,81.9129,2769.6414,24.04,38,1554.804,8.284,17.6088,-999.25,3405.6726,18.1454,-999.25,1908.6151,5.2,2.2928,1,16.72,-999.25,-999.25,111.4477,1101.2424,0.0293,-999.25,3010.844
1101.3716,101.07,0,0,0.2041,101.07,81.9094,2769.8098,23.8,38,1555.0189,8.284,17.6088,-999.25,3406.1692,18.1455,-999.25,1908.243,5.23,2.2939,1,16.72,-999.25,-999.25,111.4518,1101.3948,0.0275,-999.25,3016.5039
