DEPTH,AC,CAL,CALI,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PPP,RES_DEEP,RHOB_combined,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1100,-999.25,-999.25,-999.25,19.4488,-999.25,-999.25,94.6715,-999.25,22.8457,45,1552.5319,8.2814,18.0261,0.5038,3846.3447,20.5169,-999.25,-999.25,-999.25,10.0884,2.6713,1,-999.25,-999.25,-999.25,114.7039,1099.975,0.0203,-999.25,-999.25
1100.125,-999.25,-999.25,-999.25,20.2011,-999.25,-999.25,94.6644,-999.25,22.8896,45,1552.7083,8.2814,18.0261,0.4858,3846.8191,20.5171,-999.25,-999.25,-999.25,10.0884,2.6713,1,-999.25,-999.25,-999.25,114.708,1100.1,0.0206,-999.25,-999.25
1100.25,-999.25,-999.25,-999.25,20.6292,-999.25,-999.25,94.6573,-999.25,22.9453,45,1552.8845,8.2814,18.0261,0.471,3847.2932,20.5173,-999.25,-999.25,-999.25,10.0884,2.6713,1,-999.25,-999.25,-999.25,114.7121,1100.225,0.0211,-999.25,-999.25
1100.375,-999.25,-999.25,-999.25,22.0563,-999.25,-999.25,94.6502,-999.25,22.9853,45,1553.0608,8.2814,18.0261,0.4638,3847.7676,20.5175,-999.25,-999.25,-999.25,10.0884,2.6713,1,-999.25,-999.25,-999.25,114.7161,1100.35,0.0213,-999.25,-999.25
1100.5,-999.25,-999.25,-999.25,22.5602,-999.25,-999.25,94.6431,-999.25,22.7687,45,1553.2372,8.2814,18.0261,0.4653,3848.2417,20.5177,-999.25,-999.25,-999.25,10.0884,2.6713,1,-999.25,-999.25,-999.25,114.7202,1100.475,0.0197,-999.25,-999.25
1100.625,40,6,6,21.9975,-999.25,-999.25,94.636,-999.25,21.9975,45,1553.4135,8.2814,18.0261,0.4686,3848.7161,20.5179,-999.25,-999.25,-999.25,10.0884,2.6714,0,-150,-999.25,-999.25,114.7242,1100.6,0.0141,-999.25,-999.25
1100.75,40,6,6,20.7773,-0.1947,40,94.6289,-999.25,20.7773,45,1553.5898,8.2814,18.0261,0.4613,3849.2295,20.5183,-999.25,-999.25,-999.25,10.1142,2.8921,0,-150,-999.25,-999.25,114.7283,1100.725,0.0054,-999.25,7621.9512
1100.875,40,6,6,20.0045,-0.1947,40,94.6218,-999.25,20.0045,45,1553.7662,8.2814,18.0261,0.4521,3849.7429,20.5187,-999.25,-999.25,-999.25,10.4802,2.8921,0,-150,-999.25,-999.25,114.7323,1100.85,0,-999.25,7621.9512
1101,40,6,6,19.7228,-0.1947,40,94.6148,-999.25,19.7228,45,1553.9426,8.2814,18.0261,0.4506,3850.2563,20.5191,-999.25,-999.25,-999.25,10.6818,2.8921,0,-150,-999.25,-999.25,114.7364,1100.975,0,-999.25,7621.9512
1101.125,40,6,6,19.698,-0.1947,40,94.6077,-999.25,19.698,45,1554.1189,8.2814,18.0261,0.4612,3850.77,20.5195,-999.25,-999.25,-999.25,10.8872,2.8921,0,-150,-999.25,-999.25,114.7405,1101.1,0,-999.25,7621.9512
1101.25,40,6,6,20.0543,-0.1947,40,94.6006,-999.25,20.0543,45,1554.2953,8.2814,18.0261,0.4785,3851.2832,20.5199,-999.25,-999.25,-999.25,11.31,2.8921,0,-150,-999.25,-999.25,114.7445,1101.225,0.0004,-999.25,7621.9512
1101.375,40,6,6,19.8039,-0.1947,40,94.5935,-999.25,19.9494,45,1554.4716,8.2814,18.0261,0.4918,3851.7966,20.5203,-999.25,-999.25,-999.25,11.7493,2.8921,0,-150,-999.25,-999.25,114.7486,1101.35,0,-999.25,7621.9512
1101.5,40,6,6,19.4686,-0.1947,40,94.5864,-999.25,19.7377,45,1554.6479,8.2814,18.0261,0.4964,3852.3103,20.5207,-999.25,-999.25,-999.25,12.2056,2.8921,0,-150,-999.25,-999.25,114.7526,1101.475,0,-999.25,7621.9512
