DEPTH,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
2548.0268,0.0301,65.6801,72.3591,7263.1404,43.4383,45,3608.6082,8.3096,17.9,-999,8358.0882,19.2464,0.0126,0.0378,2007.3567,3654.0377,19.7962,2.5549,1,-50.8519,-0.0376,1,181.665,2548.0268,0.1716,-999,4641.8633
2548.1792,0.0324,66.0413,72.358,7264.9452,43.6253,45,3608.8232,8.3096,17.9,-999,8358.6405,19.2465,0.0166,0.0404,2111.381,3671.2481,18.9928,2.5514,1,-51.25,-0.0344,1,181.6716,2548.1792,0.1732,-999,4616.4756
2548.3316,0.0587,70.2916,72.3569,7266.6837,46.5118,45,3609.0382,8.3096,17.9,-999,8359.1842,19.2466,0.052,0.0705,3177.9085,3687.3258,18.7343,2.5119,1,-51.25,0.0025,1,181.6781,2548.3316,0.1986,-999,4337.3326
2548.484,0.0723,72.6192,72.3558,7268.1645,47.1442,45,3609.2532,8.3096,17.9,-999,8359.7234,19.2467,0.0681,0.0866,3660.75,3699.2362,18.5835,2.4915,1,-51.25,0.0228,1,181.6847,2548.484,0.2043,-999,4198.3119
2548.6364,0.0773,73.4868,72.3547,7269.8133,46.2814,45,3609.4682,8.3096,17.9,-999,8360.2611,19.2468,0.0762,0.0926,3825.6604,3714.044,18.2396,2.4841,1,-51.3262,0.0303,1,181.6913,2548.6364,0.1965,-999,4148.7457
2548.7888,0.0733,72.7997,72.3537,7271.5823,44.4358,45,3609.6832,8.3096,17.9,-999,8360.8001,19.2469,0.0756,0.0879,3696.4749,3730.9622,17.8261,2.49,1,-51.4687,0.0243,1,181.6978,2548.7888,0.1803,-999,4187.9025
2548.9412,0.0497,68.7981,72.3526,7273.2876,43.0564,45,3609.8982,8.3096,17.9,-999,8361.3467,19.247,0.0487,0.0601,2834.7375,3746.6924,17.6057,2.5254,1,-51.2635,-0.0105,1,181.7044,2548.9412,0.1684,-999,4431.4894
2549.0936,0.0352,66.476,72.3515,7274.7815,39.5653,45,3610.1132,8.3096,17.9,-999,8361.8981,19.2471,0.0375,0.0435,2235.504,3758.9204,17.7648,2.5472,1,-51,-0.0306,1,181.7109,2549.0936,0.1393,-999,4586.2875
2549.246,0.0285,65.4406,72.3504,7275.8734,38.4658,45,3610.3282,8.3096,17.9,-999,8362.4516,19.2472,0.0307,0.036,1940.47,3765.4109,17.9764,2.5572,1,-51,-0.0396,1,181.7175,2549.246,0.1305,-999,4658.8517
2549.3984,0.0319,65.9521,72.3493,7276.7428,37.9271,45,3610.5432,8.3096,17.9,-999,8363.004,19.2473,0.0371,0.0397,2089.1216,3769.1977,17.9765,2.5522,1,-50.9434,-0.0352,1,181.724,2549.3984,0.1262,-999,4622.7193
