DEPTH,CALI,DPHI,DST,DT,DT_NCT,FP,GR,HP,LLD,LLS,MSFL,MW,NPHI,OB,OBG,PHIE,PHIT,PPP,RES_DEEP,RHOB_combined,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1100,-999.25,-999.25,-999.25,-999.25,81.4354,-999.25,-999.25,1564.95,-999.25,-999.25,-999.25,15.5,-999.25,3604.9519,19.2284,-999.25,-999.25,-999.25,-999.25,2.6694,-999.25,-999.25,-999.25,140.0999,1100.0232,-999.25,-999.25,-999.25
1100.1524,-999.25,-999.25,-999.25,-999.25,81.4319,-999.25,-999.25,1565.1649,-999.25,-999.25,-999.25,15.5,-999.25,3605.5298,19.2288,-999.25,-999.25,-999.25,-999.25,2.6694,-999.25,-999.25,-999.25,140.1052,1100.1757,-999.25,-999.25,-999.25
1100.3048,-999.25,-999.25,-999.25,-999.25,81.4283,-999.25,-999.25,1565.3799,-999.25,-999.25,-999.25,15.5,-999.25,3606.1074,19.2292,-999.25,-999.25,-999.25,-999.25,2.6694,-999.25,-999.25,-999.25,140.1104,1100.328,-999.25,-999.25,-999.25
1100.4572,-999.25,-999.25,-999.25,-999.25,81.4248,-999.25,-999.25,1565.5948,-999.25,-999.25,-999.25,15.5,-999.25,3606.6853,19.2297,-999.25,-999.25,-999.25,-999.25,2.6695,-999.25,-999.25,-999.25,140.1157,1100.4803,-999.25,-999.25,-999.25
1100.6096,-999.25,-999.25,-999.25,-999.25,81.4213,-999.25,-999.25,1565.8099,-999.25,-999.25,-999.25,15.5,-999.25,3607.2632,19.2301,-999.25,-999.25,-999.25,-999.25,2.6695,-999.25,-999.25,-999.25,140.121,1100.6328,-999.25,-999.25,-999.25
1100.762,-999.25,-999.25,-999.25,-999.25,81.4178,-999.25,-999.25,1566.0249,-999.25,-999.25,-999.25,15.5,-999.25,3607.8411,19.2305,-999.25,-999.25,-999.25,-999.25,2.6695,-999.25,-999.25,-999.25,140.1263,1100.7852,-999.25,-999.25,-999.25
1100.9144,-999.25,-999.25,-999.25,-999.25,81.4142,-999.25,-999.25,1566.2399,-999.25,-999.25,-999.25,15.5,-999.25,3608.4187,19.2309,-999.25,-999.25,-999.25,-999.25,2.6695,-999.25,-999.25,-999.25,140.1315,1100.9376,-999.25,-999.25,-999.25
1101.0668,-999.25,-999.25,-999.25,-999.25,81.4107,-999.25,-999.25,1566.455,-999.25,-999.25,-999.25,15.5,-999.25,3608.9966,19.2313,-999.25,-999.25,-999.25,-999.25,2.6695,-999.25,-999.25,-999.25,140.1368,1101.09,-999.25,-999.25,-999.25
1101.2192,-999.25,-999.25,-999.25,-999.25,81.4072,-999.25,-999.25,1566.6699,-999.25,-999.25,-999.25,15.5,-999.25,3609.5745,19.2317,-999.25,-999.25,-999.25,-999.25,2.6695,-999.25,-999.25,-999.25,140.1421,1101.2424,-999.25,-999.25,-999.25
1101.3716,-999.25,-999.25,-999.25,-999.25,81.4036,-999.25,-999.25,1566.8849,-999.25,-999.25,-999.25,15.5,-999.25,3610.1521,19.2322,-999.25,-999.25,-999.25,-999.25,2.6695,-999.25,-999.25,-999.25,140.1474,1101.3948,-999.25,-999.25,-999.25
1101.524,-999.25,-999.25,-999.25,-999.25,81.4001,-999.25,-999.25,1567.0999,-999.25,-999.25,-999.25,15.5,-999.25,3610.73,19.2326,-999.25,-999.25,-999.25,-999.25,2.6695,-999.25,-999.25,-999.25,140.1527,1101.5472,-999.25,-999.25,-999.25
1101.6764,-999.25,-999.25,-999.25,-999.25,81.3966,-999.25,-999.25,1567.3149,-999.25,-999.25,-999.25,15.5,-999.25,3611.3079,19.233,-999.25,-999.25,-999.25,-999.25,2.6696,-999.25,-999.25,-999.25,140.1579,1101.6996,-999.25,-999.25,-999.25
1101.8288,-999.25,-999.25,-999.25,-999.25,81.3931,-999.25,-999.25,1567.5299,-999.25,-999.25,-999.25,15.5,-999.25,3611.8857,19.2334,-999.25,-999.25,-999.25,-999.25,2.6696,-999.25,-999.25,-999.25,140.1632,1101.8521,-999.25,-999.25,-999.25
1101.9812,-999.25,-999.25,-999.25,-999.25,81.3895,-999.25,-999.25,1567.7449,-999.25,-999.25,-999.25,15.5,-999.25,3612.4634,19.2338,-999.25,-999.25,-999.25,-999.25,2.6696,-999.25,-999.25,-999.25,140.1685,1102.0044,-999.25,-999.25,-999.25
1102.1336,-999.25,-999.25,-999.25,-999.25,81.386,-999.25,-999.25,1567.96,-999.25,-999.25,-999.25,15.5,-999.25,3613.0415,19.2342,-999.25,-999.25,-999.25,-999.25,2.6696,-999.25,-999.25,-999.25,140.1738,1102.1569,-999.25,-999.25,-999.25
1102.286,-999.25,-999.25,-999.25,-999.25,81.3825,-999.25,-999.25,1568.1749,-999.25,-999.25,-999.25,15.5,-999.25,3613.6191,19.2347,-999.25,-999.25,-999.25,-999.25,2.6696,-999.25,-999.25,-999.25,140.1791,1102.3092,-999.25,-999.25,-999.25
1102.4384,-999.25,-999.25,-999.25,-999.25,81.379,-999.25,-999.25,1568.3899,-999.25,-999.25,-999.25,15.5,-999.25,3614.197,19.2351,-999.25,-999.25,-999.25,-999.25,2.6696,-999.25,-999.25,-999.25,140.1843,1102.4615,-999.25,-999.25,-999.25
1102.5908,-999.25,-999.25,-999.25,-999.25,81.3754,-999.25,-999.25,1568.6049,-999.25,-999.25,-999.25,15.5,-999.25,3614.7749,19.2355,-999.25,-999.25,-999.25,-999.25,2.6696,-999.25,-999.25,-999.25,140.1896,1102.614,-999.25,-999.25,-999.25
1102.7432,-999.25,-999.25,-999.25,-999.25,81.3719,-999.25,-999.25,1568.8199,-999.25,-999.25,-999.25,15.5,-999.25,3615.3528,19.2359,-999.25,-999.25,-999.25,-999.25,2.6696,-999.25,-999.25,-999.25,140.1949,1102.7664,-999.25,-999.25,-999.25
1102.8956,-999.25,-999.25,-999.25,-999.25,81.3684,-999.25,-999.25,1569.0349,-999.25,-999.25,-999.25,15.5,-999.25,3615.9304,19.2363,-999.25,-999.25,-999.25,-999.25,2.6696,-999.25,-999.25,-999.25,140.2002,1102.9188,-999.25,-999.25,-999.25
1103.048,-999.25,-999.25,-999.25,-999.25,81.3648,-999.25,-999.25,1569.2499,-999.25,-999.25,-999.25,15.5,-999.25,3616.5083,19.2367,-999.25,-999.25,-999.25,-999.25,2.6697,-999.25,-999.25,-999.25,140.2054,1103.0712,-999.25,-999.25,-999.25
1103.2004,-999.25,-999.25,-999.25,-999.25,81.3613,-999.25,-999.25,1569.4648,-999.25,-999.25,-999.25,15.5,-999.25,3617.0862,19.2372,-999.25,-999.25,-999.25,-999.25,2.6697,-999.25,-999.25,-999.25,140.2107,1103.2236,-999.25,-999.25,-999.25
1103.3528,-999.25,-999.25,-999.25,-999.25,81.3578,-999.25,-999.25,1569.6799,-999.25,-999.25,-999.25,15.5,-999.25,3617.6641,19.2376,-999.25,-999.25,-999.25,-999.25,2.6697,-999.25,-999.25,-999.25,140.216,1103.376,-999.25,-999.25,-999.25
1103.5052,-999.25,-999.25,-999.25,-999.25,81.3543,-999.25,-999.25,1569.8949,-999.25,-999.25,-999.25,15.5,-999.25,3618.2419,19.238,-999.25,-999.25,-999.25,-999.25,2.6697,-999.25,-999.25,-999.25,140.2213,1103.5284,-999.25,-999.25,-999.25
1103.6576,-999.25,-999.25,-999.25,-999.25,81.3508,-999.25,-999.25,1570.1099,-999.25,-999.25,-999.25,15.5,-999.25,3618.8198,19.2384,-999.25,-999.25,-999.25,-999.25,2.6697,-999.25,-999.25,-999.25,140.2266,1103.6808,-999.25,-999.25,-999.25
1103.81,-999.25,-999.25,-999.25,-999.25,81.3472,-999.25,-999.25,1570.325,-999.25,-999.25,-999.25,15.5,-999.25,3619.3977,19.2388,-999.25,-999.25,-999.25,-999.25,2.6697,-999.25,-999.25,-999.25,140.2318,1103.8333,-999.25,-999.25,-999.25
1103.9624,-999.25,-999.25,-999.25,-999.25,81.3437,-999.25,-999.25,1570.5399,-999.25,-999.25,-999.25,15.5,-999.25,3619.9756,19.2392,-999.25,-999.25,-999.25,-999.25,2.6697,-999.25,-999.25,-999.25,140.2371,1103.9856,-999.25,-999.25,-999.25
1104.1148,-999.25,-999.25,-999.25,-999.25,81.3402,-999.25,-999.25,1570.7549,-999.25,-999.25,-999.25,15.5,-999.25,3620.5535,19.2397,-999.25,-999.25,-999.25,-999.25,2.6697,-999.25,-999.25,-999.25,140.2424,1104.1379,-999.25,-999.25,-999.25
1104.2672,-999.25,-999.25,-999.25,-999.25,81.3366,-999.25,-999.25,1570.9698,-999.25,-999.25,-999.25,15.5,-999.25,3621.1311,19.2401,-999.25,-999.25,-999.25,-999.25,2.6697,-999.25,-999.25,-999.25,140.2477,1104.2904,-999.25,-999.25,-999.25
1104.4196,-999.25,-999.25,-999.25,-999.25,81.3331,-999.25,-999.25,1571.1849,-999.25,-999.25,-999.25,15.5,-999.25,3621.709,19.2405,-999.25,-999.25,-999.25,-999.25,2.6698,-999.25,-999.25,-999.25,140.253,1104.4427,-999.25,-999.25,-999.25
1104.572,-999.25,-999.25,-999.25,-999.25,81.3296,-999.25,-999.25,1571.3999,-999.25,-999.25,-999.25,15.5,-999.25,3622.2871,19.2409,-999.25,-999.25,-999.25,-999.25,2.6698,-999.25,-999.25,-999.25,140.2582,1104.5952,-999.25,-999.25,-999.25
1104.7244,-999.25,-999.25,-999.25,-999.25,81.326,-999.25,-999.25,1571.6149,-999.25,-999.25,-999.25,15.5,-999.25,3622.865,19.2413,-999.25,-999.25,-999.25,-999.25,2.6698,-999.25,-999.25,-999.25,140.2635,1104.7476,-999.25,-999.25,-999.25
1104.8768,-999.25,-999.25,-999.25,-999.25,81.3225,-999.25,-999.25,1571.83,-999.25,-999.25,-999.25,15.5,-999.25,3623.4426,19.2417,-999.25,-999.25,-999.25,-999.25,2.6698,-999.25,-999.25,-999.25,140.2688,1104.9,-999.25,-999.25,-999.25
1105.0292,-999.25,-999.25,-999.25,-999.25,81.319,-999.25,-999.25,1572.0449,-999.25,-999.25,-999.25,15.5,-999.25,3624.0205,19.2421,-999.25,-999.25,-999.25,-999.25,2.6698,-999.25,-999.25,-999.25,140.2741,1105.0524,-999.25,-999.25,-999.25
1105.1816,-999.25,-999.25,-999.25,-999.25,81.3155,-999.25,-999.25,1572.2599,-999.25,-999.25,-999.25,15.5,-999.25,3624.5984,19.2426,-999.25,-999.25,-999.25,-999.25,2.6698,-999.25,-999.25,-999.25,140.2793,1105.2048,-999.25,-999.25,-999.25
1105.334,-999.25,-999.25,-999.25,-999.25,81.3119,-999.25,-999.25,1572.4749,-999.25,-999.25,-999.25,15.5,-999.25,3625.1765,19.243,-999.25,-999.25,-999.25,-999.25,2.6698,-999.25,-999.25,-999.25,140.2846,1105.3572,-999.25,-999.25,-999.25
1105.4864,-999.25,-999.25,-999.25,-999.25,81.3084,-999.25,-999.25,1572.6899,-999.25,-999.25,-999.25,15.5,-999.25,3625.7544,19.2434,-999.25,-999.25,-999.25,-999.25,2.6698,-999.25,-999.25,-999.25,140.2899,1105.5096,-999.25,-999.25,-999.25
1105.6388,-999.25,-999.25,-999.25,-999.25,81.3049,-999.25,-999.25,1572.9049,-999.25,-999.25,-999.25,15.5,-999.25,3626.332,19.2438,-999.25,-999.25,-999.25,-999.25,2.6698,-999.25,-999.25,-999.25,140.2952,1105.662,-999.25,-999.25,-999.25
1105.7912,-999.25,-999.25,-999.25,-999.25,81.3014,-999.25,-999.25,1573.1199,-999.25,-999.25,-999.25,15.5,-999.25,3626.9099,19.2442,-999.25,-999.25,-999.25,-999.25,2.6699,-999.25,-999.25,-999.25,140.3005,1105.8145,-999.25,-999.25,-999.25
