DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
768.033,-999,0.396,172.83,94.4091,1860.4439,0.511,43,1086.7277,8.3018,-999,2216.9884,16.9361,0.38,0.6493,-999,1494.7647,10.926,2.006,0,-88.4699,0.9026,0.6391,112.7059,768.062,0,-999,1764.0343
768.158,-999,0.3573,154.1747,94.4074,1860.6503,0.2698,43,1086.9041,8.3018,-999,2217.3548,16.9361,0.3443,0.5553,-999,1494.7647,10.7715,2.0641,0,-87.56,0.7534,0.7104,112.7109,768.187,0,-999,1977.4843
768.283,-999,0.3025,131.875,94.4056,1860.8642,0.1258,43,1087.0804,8.3018,-999,2217.7359,16.9363,0.291,0.4387,-999,1494.7647,10.623,2.1463,0,-86.8001,0.575,0.8462,112.7159,768.312,0,-999,2311.8715
768.408,-999,0.2495,114.0069,94.4039,1861.0853,0.0755,43,1087.2568,8.3017,-999,2218.131,16.9365,0.2512,0.3408,-999,1494.7647,10.4925,2.2258,0,-86.74,0.4321,0.9863,112.7209,768.437,0,-999,2674.207
768.533,-999,0.2155,104.15,94.4022,1861.3109,0.1046,43,1087.4331,8.3017,-999,2218.5352,16.9369,0.2293,0.2844,-999,1494.7647,10.331,2.2767,0,-86.82,0.3532,1,112.7259,768.562,0,-999,2927.2976
768.658,-999,0.2074,101.9475,94.4004,1861.5377,0.1758,43,1087.6095,8.3017,-999,2218.9415,16.9372,0.224,0.2715,-999,1494.7647,10.1061,2.2889,0,-86.93,0.3356,1,112.7309,768.687,0,-999,2990.5397
768.783,-999,0.2077,102.05,94.3987,1861.7644,0.2532,43,1087.7858,8.3017,-999,2219.3478,16.9376,0.2242,0.2721,-999,1494.7647,9.8519,2.2884,0,-87.07,0.3364,1,112.7359,768.812,0,-999,2987.536
768.908,-999,0.207,101.8451,94.397,1861.9913,0.3022,43,1087.9621,8.3017,-999,2219.7543,16.9379,0.2237,0.2709,-999,1494.7647,9.5959,2.2895,0,-87.21,0.3348,1,112.7409,768.937,0,-999,2993.5466
769.033,-999,0.2037,100.98,94.3952,1881.5684,0.3117,43,1088.1385,8.3017,-999,2220.1616,16.9383,0.2216,0.2658,-999,1533.9784,9.3509,2.2944,0,-87.3425,0.3278,1,112.7459,769.062,0,-999,3019.1924
769.158,-999,0.1997,99.9119,94.3935,1902.2488,0.2996,43,1088.3148,8.3017,-999,2220.57,16.9386,0.219,0.2595,-999,1575.4317,9.1109,2.3005,0,-87.445,0.3193,1,112.7509,769.187,0,-999,3051.4688
