DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1731.0393,-999,0.1123,80.0442,85.8216,4523.5312,49.3243,45,2456.9174,8.3278,16.7,-999,5489.3446,18.6063,-999,-999,2003.3739,2560.7207,5.733,2.4316,1,-21.7089,-999,-999,139.7412,1731.0393,0.2975,-999,3808.8698
1731.1917,-999,0.1267,82.9752,85.8205,4525.8345,54.2642,45,2457.1324,8.3278,16.7,-999,5489.8662,18.6064,0.0426,0.1553,2245.5763,2566.4676,5.5437,2.4099,1,-20.9701,0.1838,1,139.7478,1731.1917,0.2725,-999,3674.3269
1731.3441,-999,0.1349,84.6822,85.8193,4528.3749,56.1773,45,2457.3474,8.3278,16.7,-999,5490.3852,18.6065,0.0406,0.1662,2375.344,2572.9396,5.391,2.3976,1,-21.4647,0.1975,1,139.7544,1731.3441,0.2922,-999,3600.2609
1731.4965,-999,0.1418,86.1627,85.8182,4530.9903,57.3015,45,2457.5624,8.3278,16.7,-999,5490.9019,18.6066,0.0412,0.1756,2481.7714,2579.6446,5.246,2.3873,1,-22.0476,0.2093,1,139.761,1731.4965,0.304,-999,3538.3994
1731.6489,-999,0.1443,86.701,85.817,4533.8165,57.5146,45,2457.7774,8.3278,16.7,-999,5491.4178,18.6067,0.0425,0.179,2519.3231,2586.9911,5.1046,2.3835,1,-22.4215,0.2136,1,139.7676,1731.6489,0.3063,-999,3516.4298
1731.8013,-999,0.156,89.296,85.8159,4537.007,57.0649,45,2457.9924,8.3278,16.7,-999,5491.9299,18.6068,0.0544,0.1952,2689.8672,2595.4514,4.831,2.366,1,-22.3973,0.2344,1,139.7741,1731.8013,0.3015,-999,3414.2397
1731.9537,-999,0.1713,92.8588,85.8147,4540.6425,57.0424,45,2458.2074,8.3278,16.7,-999,5492.4371,18.6069,0.0674,0.2171,2901.0886,2605.2725,4.7022,2.343,1,-21.4614,0.2629,1,139.7807,1731.9537,0.3013,-999,3283.2424
1732.1061,-999,0.1862,96.474,85.8136,4544.3307,58.1235,45,2458.4224,8.3278,16.7,-999,5492.9394,18.607,0.0754,0.239,3092.0013,2615.2642,4.5756,2.3207,1,-20.9864,0.2918,1,139.7873,1732.1061,0.3128,-999,3160.2088
1732.2585,-999,0.1949,98.677,85.8125,4547.844,58.4008,45,2458.6374,8.3277,16.7,-999,5493.4389,18.607,0.0816,0.2521,3198.3521,2624.7326,4.4524,2.3077,1,-20.9558,0.3094,1,139.7939,1732.2585,0.3158,-999,3089.6566
1732.4109,-999,0.1959,98.9351,85.8113,4551.0483,57.5464,45,2458.8524,8.3277,16.7,-999,5493.9381,18.6071,0.0859,0.2537,3210.6564,2633.2649,4.371,2.3062,1,-21.5179,0.3115,1,139.8005,1732.4109,0.3066,-999,3081.5973
1732.5633,-999,0.1835,95.8124,85.8101,4554.1021,55.3468,45,2459.0674,8.3277,16.7,-999,5494.4412,18.6072,0.0847,0.235,3059.7373,2641.3337,4.4484,2.3247,1,-22.9006,0.2865,1,139.8071,1732.5633,0.2836,-999,3182.0316
1732.7157,-999,0.1785,94.5711,85.809,4557.0406,55.578,45,2459.2824,8.3277,16.7,-999,5494.9461,18.6072,0.0796,0.2275,2995.7361,2649.0501,4.5605,2.3323,1,-23.3574,0.2766,1,139.8136,1732.7157,0.2859,-999,3223.7976
1732.8681,-999,0.1752,93.7816,85.8079,4560.0982,55.9228,45,2459.4974,8.3277,16.7,-999,5495.452,18.6073,0.0755,0.2227,2953.8103,2657.1266,4.68,2.3372,1,-23.1538,0.2703,1,139.8202,1732.8681,0.2895,-999,3250.9371
1733.0205,-999,0.1703,92.6051,85.8067,4563.2716,56.0693,45,2459.7124,8.3277,16.7,-999,5495.9594,18.6074,0.0708,0.2156,2889.1441,2665.5521,4.8028,2.3446,1,-22.5689,0.2608,1,139.8268,1733.0205,0.291,-999,3292.2396
1733.1729,-999,0.1519,88.387,85.8056,4566.9452,55.8795,45,2459.9274,8.3277,16.7,-999,5496.4729,18.6075,0.0563,0.1895,2634.7059,2675.4845,5.067,2.3721,1,-22.2583,0.2271,1,139.8334,1733.1729,0.2891,-999,3449.3547
1733.3253,-999,0.1415,86.0777,85.8044,4571.0583,54.3028,45,2460.1424,8.3277,16.7,-999,5496.9897,18.6076,0.0548,0.175,2479.3918,2686.7452,5.1469,2.3878,1,-22.7747,0.2086,1,139.84,1733.3253,0.2729,-999,3541.8948
1733.4777,-999,0.1316,83.9778,85.8033,4574.9846,53.5605,45,2460.3574,8.3277,16.7,-999,5497.5098,18.6077,0.05,0.1617,2326.8804,2697.4337,5.2524,2.4026,1,-22.5159,0.1918,1,139.8465,1733.4777,0.2654,-999,3630.4605
1733.6301,-999,0.1274,83.1004,85.8021,4578.6847,54.3909,45,2460.5724,8.3277,16.7,-999,5498.0312,18.6079,0.0426,0.1561,2259.8548,2707.434,5.3662,2.4089,1,-22.815,0.1848,1,139.8531,1733.6301,0.2738,-999,3668.7916
1733.7825,-999,0.1287,83.3626,85.801,4581.5906,56.5495,45,2460.7874,8.3277,16.7,-999,5498.5522,18.608,0.0335,0.1578,2280.4774,2715.0255,5.4845,2.407,1,-23.0371,0.1869,1,139.8597,1733.7825,0.2961,-999,3657.2517
1733.9349,-999,0.1327,84.223,85.7998,4584.0133,58.9502,45,2461.0024,8.3277,16.7,-999,5499.0718,18.6081,0.0256,0.1633,2346.1788,2721.1537,5.592,2.4009,1,-22.4736,0.1938,1,139.8663,1733.9349,0.3218,19.9137,3619.8906
1734.0873,-999,0.1321,84.073,85.7987,4586.1059,61.0438,45,2461.2174,8.3277,16.7,-999,5499.5917,18.6082,0.0151,0.1623,2335.2031,2726.28,5.4948,2.4019,1,-22.5093,0.1926,1,139.8729,1734.0873,0.345,-999,3626.3495
1734.2397,-999,0.1297,83.5721,85.7976,4587.8908,60.6794,45,2461.4324,8.3277,16.7,-999,5500.1124,18.6084,0.0147,0.1591,2297.4422,2730.4708,5.3769,2.4055,1,-22.4135,0.1886,1,139.8794,1734.2397,0.3409,-999,3648.0845
1734.3921,-999,0.1265,82.9134,85.7964,4589.4702,59.905,45,2461.6474,8.3277,16.7,-999,5500.6341,18.6085,0.0157,0.1549,2246.6338,2734.0362,5.2559,2.4103,1,-22.2025,0.1833,1,139.886,1734.3921,0.3323,-999,3677.0665
1734.5445,-999,0.1232,82.2456,85.7953,4590.591,59.0838,45,2461.8624,8.3277,16.7,-999,5501.1569,18.6086,0.0168,0.1506,2193.8536,2736.2071,5.1464,2.4152,1,-22.1522,0.178,1,139.8926,1734.5445,0.3232,-999,3706.9219
1734.6969,-999,0.1317,84.001,85.7941,4591.6505,56.8858,45,2462.0774,8.3277,16.7,-999,5501.6769,18.6087,0.0344,0.1618,2330.921,2738.1978,5.067,2.4025,1,-23.1602,0.192,1,139.8992,1734.6969,0.2996,-999,3629.4591
1734.8493,-999,0.1599,90.1902,85.793,4593.0488,56.6445,45,2462.2924,8.3277,16.7,-999,5502.1878,18.6088,0.0596,0.2007,2751.4852,2741.2363,5.067,2.3601,1,-23.6569,0.2415,1,139.9058,1734.8493,0.2971,-999,3380.3915
1735.0017,-999,0.1871,96.7122,85.7918,4594.8293,57.3321,45,2462.5074,8.3277,16.7,-999,5502.6898,18.6089,0.0795,0.2404,3110.3183,2745.4538,5.0205,2.3193,1,-23.8168,0.2937,1,139.9123,1735.0017,0.3043,-999,3152.4246
