DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,MW,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VES,VP
1739.952,-999,0.0777,73.5664,81.1758,4562.6464,27.936,40,2458.4675,8.2904,15,-999,5506.9234,18.5702,-999,-999,1795.2095,2707.4135,5.8598,2.4835,1,-46.6885,-999,-999,138.8138,1739.952,0.0607,-999,4144.2567
1740.1044,-999,0.0769,73.435,81.1739,4565.0625,27.4838,40,2458.6825,8.2903,15,-999,5507.4612,18.5704,-999,-999,1782.2397,2716.9318,5.7973,2.4846,1,-46.503,-999,-999,138.8202,1740.1044,0.0569,-999,4151.6722
1740.2568,-999,0.0941,76.5618,81.1719,4567.2286,29.7816,40,2458.8975,8.2903,15,-999,5507.9934,18.5706,-999,-999,2080.6451,2725.568,5.7516,2.4588,1,-46.4385,-999,-999,138.8267,1740.2568,0.0767,-999,3982.117
1740.4092,-999,0.1129,80.1721,81.1699,4568.7341,27.6782,40,2459.1125,8.2903,15,-999,5508.5195,18.5707,-999,-999,2382.7352,2731.256,5.7183,2.4306,1,-46.376,-999,-999,138.8331,1740.4092,0.0585,-999,3802.7948
1740.5616,-999,0.125,82.6138,81.1679,4569.4834,29.5832,40,2459.3275,8.2903,15,-999,5509.0417,18.5709,-999,-999,2565.1428,2733.0435,5.6648,2.4125,1,-46.252,-999,-999,138.8396,1740.5616,0.0749,-999,3690.401
1740.714,-999,0.1239,82.3794,81.166,4569.3297,28.1326,40,2459.5425,8.2903,15,-999,5509.5642,18.571,-999,-999,2548.733,2729.1638,5.5718,2.4142,1,-46.127,-999,-999,138.8461,1740.714,0.0624,-999,3700.9015
1740.8664,-999,0.143,86.4191,81.164,4568.6693,30.9078,40,2459.7575,8.2903,15,-999,5510.0806,18.5711,0.1576,0.1772,2819.4558,2721.5403,5.4419,2.3855,1,-46.0635,0.2114,1,138.8525,1740.8664,0.0577,-999,3527.9012
1741.0188,-999,0.153,88.6179,81.162,4568.2535,31.9409,40,2459.9725,8.2903,15,-999,5510.5936,18.5712,0.1581,0.191,2951.7075,2715.7788,5.3225,2.3705,1,-45.878,0.2289,1,138.859,1741.0188,0.0635,-999,3440.3664
1741.1712,-999,0.3613,156.0024,81.16,4568.0413,35.7511,40,2460.1875,8.2903,15,-999,5511.0391,18.5711,0.2869,0.5647,4685.2995,2711.8911,5.1959,2.058,1,-45.8135,0.768,1,138.8655,1741.1712,0.0855,-999,1954.3164
1741.3236,-999,0.1823,95.5214,81.1581,4568.1418,38.204,40,2460.4025,8.2903,15,-999,5511.5427,18.5712,0.1505,0.2333,3309.0005,2709.8802,5.0574,2.3265,1,-45.874,0.2842,1,138.8719,1741.3236,0.1001,-999,3191.7251
1741.476,-999,0.1765,94.0967,81.1561,4568.8631,36.4314,40,2460.6175,8.2903,15,-999,5512.0481,18.5713,0.1533,0.2246,3242.1998,2711.5011,4.9231,2.3353,1,-45.875,0.2728,1,138.8784,1741.476,0.0895,-999,3240.0504
